symbipredict_column,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321
itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skin_rash,othskindx,otinflskin,skininfectn,skinmelanom,ulcerskin,meds_skinpreps,cc_motorcyclecrash,cc_motorvehiclecrash,cc_rash,cc_skinirritation,cc_skinproblem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nodal_skin_eruptions,othskindx,otinflskin,skininfectn,skinmelanom,ulcerskin,meds_skinpreps,cc_skinirritation,cc_skinproblem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continuous_sneezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chills,cc_chills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint_pain,abdomnlpain,chestpain,jointinjury,otjointdx,cc_abdominalpain,cc_abdominalpainpregnant,cc_anklepain,cc_armpain,cc_backpain,cc_breastpain,cc_chestpain,cc_dentalpain,cc_earpain,cc_elbowpain,cc_epigastricpain,cc_eyepain,cc_facialpain,cc_fingerpain,cc_flankpain,cc_footpain,cc_groinpain,cc_handpain,cc_hippain,cc_jawpain,cc_jointswelling,cc_kneepain,cc_legpain,cc_neckpain,cc_pain,cc_pelvicpain,cc_rectalpain,cc_ribpain,cc_shoulderpain,cc_sicklecellpain,cc_testiclepain,cc_toepain,cc_vaginalpain,cc_wristpain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stomach_pain,abdomnlpain,chestpain,cc_abdominalpain,cc_abdominalpainpregnant,cc_anklepain,cc_armpain,cc_backpain,cc_breastpain,cc_chestpain,cc_dentalpain,cc_earpain,cc_elbowpain,cc_epigastricpain,cc_eyepain,cc_facialpain,cc_fingerpain,cc_flankpain,cc_footpain,cc_groinpain,cc_handpain,cc_hippain,cc_jawpain,cc_kneepain,cc_legpain,cc_neckpain,cc_pain,cc_pelvicpain,cc_rectalpain,cc_ribpain,cc_shoulderpain,cc_sicklecellpain,cc_testiclepain,cc_toepain,cc_vaginalpain,cc_wristpain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulcers_on_tongue,religion,disposition,arrivalmonth,asppneumon,attentiondeficitconductdisruptivebeha,bonectcncr,bronchitis,chfnonhp,coloncancer,conduction,contraceptiv,coronathero,ecodesdrowningsubmersion,ecodesnaturalenvironment,ecodespoisoning,ecodessuffocation,giconganom,guconganom,impulsecontroldisordersnec,longpregncy,malposition,nervcongan,nonepithca,nonhodglym,otbonedx,otconganom,otconntiss,parkinsons,peritonitis,personalitydisorders,pneumonia,poisnnonmed,poisonpsych,spontabortn,suicideandintentionalselfinflictedin,tonsillitis,ulcerskin,urinstone,n_admissions,acetonebld_last,aniongap_last,"benzodiazepinesscreen,urine,noconf._last",calculatedo2saturation(poc)_last,egfr(nonafricanamerican)_last,monocytes_last,monosabs_last,"phencyclidine(pcp)screen,urine,noconf._last",pocionizedcalcium_last,poctroponini._last,troponini(poc)_last,troponint_last,acetonebld_min,aniongap_min,"benzodiazepinesscreen,urine,noconf._min",calculatedo2saturation(poc)_min,egfr(nonafricanamerican)_min,monocytes_min,monosabs_min,"phencyclidine(pcp)screen,urine,noconf._min",pocionizedcalcium_min,poctroponini._min,troponini(poc)_min,troponint_min,acetonebld_max,aniongap_max,"benzodiazepinesscreen,urine,noconf._max",calculatedo2saturation(poc)_max,egfr(nonafricanamerican)_max,monocytes_max,monosabs_max,"phencyclidine(pcp)screen,urine,noconf._max",pocionizedcalcium_max,poctroponini._max,troponini(poc)_max,troponint_max,acetonebld_median,aniongap_median,"benzodiazepinesscreen,urine,noconf._median",calculatedo2saturation(poc)_median,egfr(nonafricanamerican)_median,monocytes_median,monosabs_median,"phencyclidine(pcp)screen,urine,noconf._median",pocionizedcalcium_median,poctroponini._median,troponini(poc)_median,troponint_median,ketonesua_last,ketonesua_npos,ketonesua_count,meds_analgesicandantihistaminecombination,meds_antihistamineanddecongestantcombination,meds_antiparkinsondrugs,meds_autonomicdrugs,meds_colonystimulatingfactors,meds_contraceptives,meds_cough/coldpreparations,meds_hormones,meds_investigational,"meds_miscellaneousmedicalsupplies,devices,non-drug",cc_abdominaldistention,cc_addictionproblem,cc_agitation,cc_alcoholintoxication,cc_allergicreaction,cc_blurredvision,cc_confusion,cc_conjunctivitis,cc_constipation,cc_dehydration,cc_depression,cc_detoxevaluation,cc_extremitylaceration,cc_faciallaceration,cc_hallucinations,cc_headache-newonsetornewsymptoms,cc_headachere-evaluation,cc_headlaceration,cc_hypertension,cc_hypotension,cc_ingestion,cc_laceration,cc_lossofconsciousness,cc_medicationproblem,cc_medicationrefill,cc_nasalcongestion,cc_overdose-intentional,cc_palpitations,cc_poisoning,cc_psychiatricevaluation,cc_seizure-newonset,cc_skinirritation,cc_unresponsive,cc_urinaryretention,cc_urinarytractinfection,cc_woundinfection,cc_woundre-evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
